name	x	y	z	size
LOF8	-45.333	41.5	-0.5	n/a
LOF7	-40.0	40.5	-0.5	n/a
LOF6	-34.0	40.5	-0.5	n/a
LOF5	-29.0	40.0	-0.5	n/a
LOF4	-23.0	39.5	-0.5	n/a
LOF3	-18.0	39.5	-0.5	n/a
LOF2	-12.0	39.5	-0.5	n/a
LOF1	-9.0	39.5	-0.5	n/a
LA7	-55.0	5.5	-24.5	n/a
LA6	-49.667	5.0	-24.667	n/a
LA5	-44.0	4.667	-24.667	n/a
LA4	-39.0	4.5	-25.0	n/a
LA3	-33.0	4.5	-25.0	n/a
LA2	-27.75	4.25	-25.25	n/a
LA1	-25.0	4.0	-25.25	n/a
LEC8	-57.5	-4.0	-29.0	n/a
LEC7	-52.0	-4.5	-29.0	n/a
LEC6	-46.5	-4.5	-29.0	n/a
LEC5	-41.0	-4.5	-29.0	n/a
LEC4	-35.5	-5.0	-29.0	n/a
LEC3	-30.0	-5.333	-29.333	n/a
LEC2	-24.5	-5.5	-29.0	n/a
LEC1	-21.2	-5.4	-29.4	n/a
LMH7	-60.0	-11.5	-24.0	n/a
LMH6	-54.5	-11.5	-24.0	n/a
LMH5	-49.0	-11.5	-24.0	n/a
LMH4	-43.333	-11.667	-24.0	n/a
LMH3	-38.0	-11.667	-23.667	n/a
LMH2	-32.667	-12.0	-23.667	n/a
LMH1	-29.75	-12.25	-23.75	n/a
ROF8	46.0	46.5	2.5	n/a
ROF7	40.3333	46.3333	3.0	n/a
ROF6	35.0	46.3333	2.667	n/a
ROF5	29.6667	46.3333	3.0	n/a
ROF4	24.0	46.3333	3.333	n/a
ROF3	18.5	46.0	3.5	n/a
ROF2	13.0	46.2	3.4	n/a
ROF1	10.0	46.2	3.4	n/a
RAI5	52.0	21.5	9.5	n/a
RAI4	46.0	21.5	10.0	n/a
RAI3	40.5	21.0	10.0	n/a
RAI2	35.0	21.333	10.667	n/a
RAI1	32.0	21.25	11.0	n/a
RFOP6	60.0	-0.667	7.667	n/a
RFOP5	54.75	-1.0	8.0	n/a
RFOP4	49.25	-1.25	8.25	n/a
RFOP3	44.0	-1.333	8.667	n/a
RFOP2	38.4	-1.4	9.2	n/a
RFOP1	35.5	-1.5	9.667	n/a
RSMG6	63.5	-20.0	10.0	n/a
RSMG5	58.0	-20.333	10.333	n/a
RSMG4	52.0	-20.333	10.333	n/a
RSMG3	47.0	-20.5	10.5	n/a
RSMG2	41.2	-20.4	10.6	n/a
RSMG1	38.4	-20.6	10.8	n/a
RSTG3	65.0	-34.667	2.667	n/a
RSTG2	59.3333	-35.333	3.0	n/a
RSTG1	56.0	-35.333	3.333	n/a
RPT8	63.6	-43.4	-22.8	n/a
RPT7	58.0	-43.0	-22.5	n/a
RPT6	52.75	-42.75	-22.25	n/a
RPT5	47.0	-42.5	-22.0	n/a
RPT4	41.6667	-42.0	-21.667	n/a
RPT3	36.0	-41.5	-21.5	n/a
RPT2	30.6667	-41.333	-21.0	n/a
RPT1	27.6	-40.8	-20.6	n/a
